Speaker,Utterance,Utterance_Highlighted
Raihan,and the proper:: the resilution and everything.,and the proper:: the resilution and everything.
Raihan,"=Like I even Imagined the whole script,","=Like I even Imagined the whole script,"
Raihan,how's the video is gonna be(.),how's the video is gonna be(.)
Raihan,[but yeah],[but <span style='color:red'>yeah</span>]
Raihan,"Yeah,","<span style='color:red'>Yeah</span>,"
Raihan,issue is you know like: um::,issue is you know like: um::
Raihan,first thing is I recorded in (.)in 4k right?,first thing is I recorded in (.)in 4k right?
Raihan,then [its like] 60 fps so its super smooth.,then [its like] 60 fps so its super smooth.
Raihan,Super high quality,Super high quality
Raihan,sound is good,sound is good
Raihan,but the thing is: because of that the quality is so high,but the thing is: because of that the quality is so high
Raihan,so(.) just the trip video I have like(2) I don't know,so(.) just the <span style='color:red'>trip</span> video I have like(2) I don't know
Raihan,80 to 90 GB of[ just](.) video.,80 to 90 GB of[ just](.) video.
Raihan,((laugh))(.) So now like if try to import that to my laptop=,((laugh))(.) So now like if try to import that to my laptop=
Raihan,it takes like(.) forever,it takes like(.) forever
Raihan,to transfer from Iphone to laptop because I do not have a mac.,to transfer from Iphone to laptop because I do not have a mac.
Raihan,=right?,=right?
Raihan,[y]ou transfer thing from Apple to windos,[y]ou transfer thing from Apple to windos
Raihan,take so long.,take so long.
Raihan,[Yeah],[<span style='color:red'>Yeah</span>]
Raihan,[because of that.]=.,[because of that.]=.
Raihan,=t[he videos were nice],=t[he <span style='color:red'>videos</span> were <span style='color:red'>nice</span>]
Raihan,"yeah last↑ one,, oh my god tha[t's so nice]","<span style='color:red'>yeah</span> last↑ one,, <span style='color:red'>oh my god</span> tha[t's so <span style='color:red'>nice</span>]"
Raihan,[we had the song],[we had the song]
Raihan,yeahh ((laughs)),<span style='color:red'>yeah</span>h ((laughs))
Raihan,[you know when I was going through the photots.. yeah],[you know when I was going through the photots.. <span style='color:red'>yeah</span>]
Raihan,ah I felt likee yee,ah I felt likee yee
Raihan,"I think the good part how we(.) you know, we just recorded candid=","I think the good part how we(.) you know, we just recorded candid="
Raihan,no fake no nothing,no fake no nothing
Raihan,(just) exactly like(.) whatever is going on,(just) <span style='color:red'>exactly</span> like(.) whatever is going on
Raihan,you could like view through the trip again=,you could like view through the <span style='color:red'>trip</span> again=
Raihan,[yeahh],[<span style='color:red'>yeah</span>h]
Raihan,you know like ..ah,you know like ..ah
Raihan,this trip actually like I..I actually sometimes compare. when I was posting I was comparing with my other trips,this <span style='color:red'>trip</span> actually like I..I actually sometimes compare. when I was posting I was comparing with my other <span style='color:red'>trip</span>s
